"","date","n"
"373",2014-01-29,4
"374",2014-01-30,2
"375",2014-01-31,3
"376",2014-02-01,3
"377",2014-02-03,1
"378",2014-02-04,5
"379",2014-02-05,3
"380",2014-02-06,1
"381",2014-02-07,5
"382",2014-02-09,1
"383",2014-02-10,6
"384",2014-02-11,2
"385",2014-02-12,2
"386",2014-02-13,3
"387",2014-02-14,2
"388",2014-02-15,4
"389",2014-02-16,4
"390",2014-02-17,2
"391",2014-02-18,3
"392",2014-02-20,1
"393",2014-02-21,1
"394",2014-02-22,1
"395",2014-02-23,1
"396",2014-02-24,1
"397",2014-02-25,3
"398",2014-02-26,5
"399",2014-02-27,1
"400",2014-02-28,3
"401",2014-03-01,1
"402",2014-03-02,3
"403",2014-03-03,3
"404",2014-03-04,4
"405",2014-03-05,5
"406",2014-03-06,5
"407",2014-03-07,2
"408",2014-03-08,3
"409",2014-03-09,6
"410",2014-03-10,6
"411",2014-03-11,2
"412",2014-03-12,3
"413",2014-03-13,2
"414",2014-03-14,2
"415",2014-03-16,5
"416",2014-03-17,3
"417",2014-03-18,4
"418",2014-03-19,2
"419",2014-03-20,4
"420",2014-03-21,6
"421",2014-03-22,2
"422",2014-03-23,2
"423",2014-03-24,1
"424",2014-03-25,7
"425",2014-03-26,2
"426",2014-03-27,4
"427",2014-03-28,5
"428",2014-03-29,1
"429",2014-03-30,1
"430",2014-03-31,3
"431",2014-04-02,2
"432",2014-04-03,2
"433",2014-04-04,4
"434",2014-04-05,2
"435",2014-04-06,2
"436",2014-04-07,5
"437",2014-04-08,3
"438",2014-04-09,1
"439",2014-04-10,3
"440",2014-04-11,5
"441",2014-04-12,4
"442",2014-04-13,8
"443",2014-04-14,3
"444",2014-04-15,1
"445",2014-04-16,4
"446",2014-04-17,4
"447",2014-04-18,1
"448",2014-04-19,2
"449",2014-04-20,3
"450",2014-04-21,6
"451",2014-04-22,3
"452",2014-04-23,3
"453",2014-04-24,1
"454",2014-04-25,4
"455",2014-04-26,2
"456",2014-04-27,2
"457",2014-04-28,2
"458",2014-04-29,6
"459",2014-04-30,2
"460",2014-05-01,1
"461",2014-05-02,3
"462",2014-05-03,1
"463",2014-05-04,3
"464",2014-05-05,2
"465",2014-05-06,3
"466",2014-05-07,3
"467",2014-05-08,6
"468",2014-05-09,3
"469",2014-05-10,5
"470",2014-05-11,4
"471",2014-05-12,3
"472",2014-05-13,2
"473",2014-05-14,1
"474",2014-05-15,3
"475",2014-05-16,5
"476",2014-05-17,2
"477",2014-05-18,5
"478",2014-05-19,5
"479",2014-05-20,3
"480",2014-05-21,3
"481",2014-05-22,2
"482",2014-05-23,1
"483",2014-05-24,6
"484",2014-05-25,2
"485",2014-05-26,2
"486",2014-05-27,2
"487",2014-05-28,2
"488",2014-05-29,4
"489",2014-05-30,8
"490",2014-05-31,4
"491",2014-06-01,1
"492",2014-06-02,4
"493",2014-06-03,1
"494",2014-06-04,6
"495",2014-06-05,2
"496",2014-06-06,5
"497",2014-06-07,3
"498",2014-06-08,3
"499",2014-06-09,4
"500",2014-06-10,4
"501",2014-06-11,3
"502",2014-06-12,4
"503",2014-06-13,3
"504",2014-06-14,3
"505",2014-06-15,4
"506",2014-06-16,2
"507",2014-06-18,1
"508",2014-06-19,6
"509",2014-06-20,6
"510",2014-06-21,5
"511",2014-06-22,2
"512",2014-06-24,3
"513",2014-06-25,4
"514",2014-06-26,4
"515",2014-06-27,5
"516",2014-06-29,2
"517",2014-06-30,1
"518",2014-07-01,3
"519",2014-07-02,2
"520",2014-07-03,3
"521",2014-07-04,2
"522",2014-07-05,4
"523",2014-07-06,2
"524",2014-07-07,1
"525",2014-07-08,1
"526",2014-07-09,5
"527",2014-07-10,3
